Full Date,Prediction
2020-01-01,0
2020-01-02,2
2020-01-03,6
2020-01-06,1
2020-01-07,4
2020-01-08,1
2020-01-09,1
2020-01-10,1
2020-01-13,2
2020-01-14,2
2020-01-15,1
2020-01-16,2
2020-01-17,1
2020-01-19,1
2020-01-21,3
2020-01-22,3
2020-01-23,1
2020-01-24,1
2020-01-26,0
2020-01-27,1
2020-01-28,1
2020-01-29,5
2020-01-30,1
2020-02-03,3
2020-02-04,2
2020-02-05,4
2020-02-06,1
2020-02-08,1
2020-02-09,1
2020-02-10,2
2020-02-11,1
2020-02-12,1
2020-02-13,4
2020-02-14,1
2020-02-15,1
2020-02-17,1
2020-02-18,3
2020-02-19,1
2020-02-20,1
2020-02-21,2
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-03,1
2020-03-04,1
2020-03-06,1
2020-03-09,3
2020-03-10,4
2020-03-12,1
2020-03-13,1
2020-03-16,3
2020-03-17,4
2020-03-18,3
2020-03-19,4
2020-03-20,1
2020-03-21,0
2020-03-22,1
2020-03-23,2
2020-03-24,2
2020-03-26,3
2020-03-27,1
2020-03-30,1
2020-04-01,-1
2020-04-02,3
2020-04-03,1
2020-04-04,1
2020-04-06,1
2020-04-07,2
2020-04-09,1
2020-04-10,1
2020-04-14,5
2020-04-15,4
2020-04-17,1
2020-04-20,1
2020-04-22,1
2020-04-23,1
2020-04-24,2
2020-04-25,1
2020-04-27,2
2020-04-28,-1
2020-04-29,3
2020-04-30,3
2020-05-01,2
2020-05-02,2
2020-05-03,1
2020-05-04,2
2020-05-05,1
2020-05-06,1
2020-05-07,2
2020-05-08,3
2020-05-09,0
2020-05-11,4
2020-05-12,1
2020-05-13,3
2020-05-14,2
2020-05-15,2
2020-05-16,2
2020-05-17,1
2020-05-18,3
2020-05-19,1
2020-05-20,0
2020-05-21,4
2020-05-22,1
2020-05-23,1
2020-05-27,3
2020-05-28,-1
2020-05-29,2
2020-05-30,1
2020-06-01,1
2020-06-02,2
2020-06-04,4
2020-06-08,2
2020-06-09,3
2020-06-10,2
2020-06-11,2
2020-06-12,1
2020-06-13,1
2020-06-15,3
2020-06-16,2
2020-06-17,1
2020-06-18,3
2020-06-19,3
2020-06-20,-1
2020-06-22,2
2020-06-23,2
2020-06-24,2
2020-06-25,2
2020-06-26,0
2020-06-28,0
2020-06-29,3
2020-06-30,2
2020-07-01,2
2020-07-02,1
2020-07-06,2
2020-07-07,2
2020-07-08,2
2020-07-09,3
2020-07-10,3
2020-07-11,1
2020-07-12,1
2020-07-13,4
2020-07-14,2
2020-07-15,1
2020-07-16,0
2020-07-20,3
2020-07-21,0
2020-07-22,2
2020-07-23,3
2020-07-24,0
2020-07-25,1
2020-07-27,1
2020-07-28,4
2020-07-29,3
2020-08-03,2
2020-08-04,1
2020-08-05,1
2020-08-06,1
2020-08-07,2
2020-08-08,1
2020-08-10,2
2020-08-11,3
2020-08-12,1
2020-08-13,2
2020-08-14,3
2020-08-16,1
2020-08-17,1
2020-08-18,2
2020-08-20,1
2020-08-21,3
2020-08-24,2
2020-08-25,-1
2020-08-26,1
2020-08-27,2
2020-08-30,2
2020-08-31,2
2020-09-01,3
2020-09-02,2
2020-09-03,1
2020-09-04,2
2020-09-07,1
2020-09-08,3
2020-09-09,1
2020-09-10,2
2020-09-11,3
2020-09-14,2
2020-09-16,2
2020-09-17,1
2020-09-18,1
2020-09-21,2
2020-09-22,3
2020-09-23,4
2020-09-24,2
2020-09-25,2
2020-09-28,2
2020-09-29,4
2020-09-30,4
2020-10-01,2
2020-10-02,3
2020-10-05,2
2020-10-06,1
2020-10-07,2
2020-10-12,2
2020-10-13,5
2020-10-14,4
2020-10-15,2
2020-10-16,1
2020-10-19,1
2020-10-20,2
2020-10-21,5
2020-10-22,2
2020-10-23,2
2020-10-26,2
2020-10-27,0
2020-10-28,0
2020-10-29,1
2020-10-30,1
2020-11-02,2
2020-11-03,-1
2020-11-04,1
2020-11-05,1
2020-11-09,2
2020-11-11,4
2020-11-13,2
2020-11-15,1
2020-11-16,4
2020-11-17,4
2020-11-18,2
2020-11-19,2
2020-11-21,1
2020-11-23,3
2020-11-24,1
2020-11-25,4
2020-11-27,2
2020-11-28,-1
2020-11-30,2
2020-12-01,1
2020-12-02,1
2020-12-03,2
2020-12-05,1
2020-12-07,1
2020-12-08,3
2020-12-09,4
2020-12-10,4
2020-12-11,1
2020-12-12,1
2020-12-13,1
2020-12-17,2
2020-12-18,3
2020-12-20,-1
2020-12-21,2
2020-12-22,1
2020-12-23,1
2020-12-24,1
2020-12-26,0
2020-12-28,3
2020-12-29,1
2020-12-30,2
2020-12-31,1
2021-01-01,1
2021-01-02,1
2021-01-04,5
2021-01-05,0
2021-01-06,1
2021-01-07,1
2021-01-08,1
2021-01-10,1
2021-01-11,1
2021-01-12,1
2021-01-13,1
2021-01-14,1
2021-01-15,1
2021-01-16,1
2021-01-19,2
2021-01-20,2
2021-01-21,3
2021-01-22,0
2021-01-24,1
2021-01-25,2
2021-01-26,2
2021-01-27,4
2021-01-28,2
2021-01-29,0
2021-02-01,3
